Kabupaten/Kota,Tahun,Luas Wilayah,Indeks Pembangunan Manusia (IPM),Harapan Lama Sekolah (Tahun),Rata-rata Lama sekolah (Tahun),Angka Partisipasi Sekolah (APS) Usia 7-12 (Persen),Angka Partisipasi Sekolah (APS) Usia 13-15 (Persen),Angka Partisipasi Sekolah (APS) Usia 16-18 (Persen),Angka Partisipasi Sekolah (APS) Usia 19-23 (Persen),Rasio Guru per Siswa,Jumlah Penduduk (Ribu),Persentase Penduduk (Persen),Persentase Penduduk Miskin (Persen),Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja - Agustus,Pengeluaran Per Kapita Riil Disesuaikan (Ribu Rupiah),Persentase Rumah Tangga dengan Akses Air Bersih,Laju Pertumbuhan Penduduk per Tahun (persen),Kepadatan Penduduk per km persegi (km²),Gini Ratio
Kota Surabaya,2021,"350,54","82,94","14,81","10,5","99,78","98,97","69,97","48,41","18,29","2880,3","7,05","5,23","9,68","67,3",17862,"98,06","0,28",8217,"0,351"
Kota Batu,2021,"136,74","77,21","14,16","9,31","99,25","97,32","76,98","39,27","14,73","214,7","0,53","4,09","6,57","73,74",12887,100,"1,01",1570,"0,312"
Pacitan,2022,"1389,92","70,19","12,66","7,82","99,48",99,"78,45","12,24","9,01","592,92","1,44","13,8","2,04","82,99",9184,"83,95","0,66",414,"0,338"
Ponorogo,2022,"1305,7","72,59","13,76","7,77","99,7","98,59","78,18","20,19","11,63","964,25","2,34","9,32","5,51","72,92",10199,"91,5","0,9",680,"0,336"
Trenggalek,2022,"1147,22","71,28","12,5","7,89","92,34","96,12","84,99","13,99","11,82","739,67","1,8","10,96","5,37","72,01",10042,"81,23","0,67",592,"0,331"
Tulungagung,2022,"1055,65","74,14","13,33","8,65","99,79","98,36","78,21","21,63","11,94",1.105.34,"2,69","6,71","6,65","71,95",11162,"96,39","0,81",966,"0,342"
Blitar,2022,"1336,48","72,25","12,64","7,82","97,4","95,88","68,57","15,15","14,00",1.240.32,"3,01","8,71","5,45","72,79",11001,"96,37","0,77",711,"0,335"
Kediri,2022,"1386,05","74,2","13,61","8,23","98,57","98,18","85,24","18,62","15,29",1.656.02,"4,02","10,65","6,83","68,73",11565,"92,17","0,72",1087,"0,329"
Malang,2022,"3530,65","72,23","13,38","7,68","99,6","95,47","64,52","32,25","16,04",2.685.9,"6,53","9,55","6,57","70,38",10326,"96,02","0,68",773,"0,368"
Lumajang,2022,"1790,9","68,48","12,02","6,87","99,95","97,33",53,"15,25","13,86",1.137.23,"2,76","9,06","4,97","69,75",9466,"97,35","0,91",633,"0,349"
Jember,2022,"3092,34","69,8","13,44","6,5","99,01","94,84","74,08","23,3","14,58",2.567.72,"6,24","9,39","4,06","69,44",9840,"95,4","0,7",775,"0,301"
Banyuwangi,2022,"5782,4","73,15","13,11","7,66","98,61","99,16","76,81","15,61","13,93",1.731.73,"4,21","7,51","5,26",72,12320,"95,97","0,79",482,"0,329"
Bondowoso,2022,"1525,97","69,91","13,31","6,22","99,68","96,53","68,6","14,11","9,49","781,42","1,9","13,47","4,32","74,61",10851,"93,31","0,39",503,"0,365"
Situbondo,2022,"1669,87","69,76","13,18","6,63","97,67","93,93","61,12","11,65","10,04","691,26","1,68","11,78","3,38","72,15",10263,"99,22","0,44",418,"0,298"
Probolinggo,2022,"1696,21","69,56","12,58","6,13","99,91","98,07","63,56","17,53","12,28",1.159.97,"2,82","17,12","3,25","71,56",11254,"95,92","0,37",673,"0,275"
Pasuruan,2022,"1474,02","71,29","12,76","7,42","98,71","97,13","65,01","17,3","14,43",1.619.04,"3,93","8,96","5,91","70,19",10726,"96,9","0,46","1,084","0,325"
Sidoarjo,2022,"634,38","81,37","14,95","10,77","99,92","99,4","83,2","37,73","16,71",2.103.40,"5,11","5,36","8,8","72,87",14808,"95,86","0,56","2,905","0,373"
Mojokerto,2022,"717,83","75,61","12,96","8,97","98,57","99,78","86,76","13,74","14,76",1.133.58,"2,75","9,71","4,83","71,34",13051,"97,05","0,73","1,151","0,327"
Jombang,2022,"1115,09","74,66","13,58","8,76","98,91","98,76","88,17","18,45","14,21",1.335.97,"3,25","9,04","5,47","66,65",11579,"99,07","0,77","1,204","0,31"
Nganjuk,2022,"1224,25","73,95","13,07","8,12","99,96","97,76","84,17","14,28","13,13",1.117.03,"2,71","10,7","4,74","66,79",12349,"98,67","0,68",867,"0,301"
Madiun,2022,"1037,58","73,51","13,18","7,94","99,25","98,43","73,09","16,6","12,33","757,67","1,84","10,79","5,84","72,72",11848,"94,79","1,02","6,668","0,354"
Magetan,2022,"688,84","75,76","14,05","8,66","99,85","99,7","85,87","23,17","12,22","678,34","1,65","9,84","4,33","74,03",12031,"98,71","0,64",960,"0,352"
